,BP,CVX,XOM,XOM,RDS.A,RDS.B
1999-07-19,59.0,,39.4063,39.4063,,
1999-07-20,57.375,,38.9688,38.9688,,
1999-07-21,57.0,,39.0625,39.0625,,
1999-07-22,56.5313,,39.0938,39.0938,,
1999-07-23,57.0313,,39.5625,39.5625,,
1999-07-26,55.875,,39.0,39.0,,
1999-07-27,56.75,,38.7813,38.7813,,
1999-07-28,57.25,,39.4688,39.4688,,
1999-07-29,57.2188,,38.9375,38.9375,,
1999-07-30,57.9375,,39.6875,39.6875,,
1999-08-02,58.2188,,38.9375,38.9375,,
1999-08-03,58.3438,,39.4063,39.4063,,
1999-08-04,58.75,,39.9375,39.9375,,
1999-08-05,59.25,,41.0938,41.0938,,
1999-08-06,59.3125,,40.1875,40.1875,,
1999-08-09,59.125,,40.1875,40.1875,,
1999-08-10,58.75,,40.5938,40.5938,,
1999-08-11,58.75,,40.9688,40.9688,,
1999-08-12,58.8438,,40.9063,40.9063,,
1999-08-13,59.375,,40.7813,40.7813,,
1999-08-16,59.3438,,40.7813,40.7813,,
1999-08-17,59.625,,40.9063,40.9063,,
1999-08-18,59.2188,,41.1016,41.1016,,
1999-08-19,58.6875,,40.9063,40.9063,,
1999-08-20,58.8125,,41.2813,41.2813,,
1999-08-23,59.4063,,41.4063,41.4063,,
1999-08-24,58.1563,,40.8125,40.8125,,
1999-08-25,57.1563,,41.125,41.125,,
1999-08-26,55.1875,,40.1563,40.1563,,
1999-08-27,55.1875,,39.6563,39.6563,,
1999-08-30,55.1875,,38.9063,38.9063,,
1999-08-31,55.9219,,39.4375,39.4375,,
1999-09-01,56.75,,39.1563,39.1563,,
1999-09-02,55.5938,,38.75,38.75,,
1999-09-03,56.4688,,39.5313,39.5313,,
1999-09-07,55.9688,,39.75,39.75,,
1999-09-08,55.5625,,40.5938,40.5938,,
1999-09-09,57.9063,,40.625,40.625,,
1999-09-10,57.9375,,40.2188,40.2188,,
1999-09-13,57.2188,,39.3125,39.3125,,
1999-09-14,56.9063,,39.5938,39.5938,,
1999-09-15,55.4688,,38.625,38.625,,
1999-09-16,54.6875,,38.8438,38.8438,,
1999-09-17,54.625,,39.9375,39.9375,,
1999-09-20,53.5625,,39.0938,39.0938,,
1999-09-21,52.875,,38.375,38.375,,
1999-09-22,54.125,,37.6875,37.6875,,
1999-09-23,54.5938,,37.4063,37.4063,,
1999-09-24,54.0,,37.4063,37.4063,,
1999-09-27,53.9688,,37.5625,37.5625,,
1999-09-28,53.125,,37.3438,37.3438,,
1999-09-29,53.5938,,37.375,37.375,,
1999-09-30,55.4063,,38.0,38.0,,
1999-10-01,56.5625,,37.3125,37.3125,,
1999-10-04,56.625,,36.5,36.5,,
1999-10-05,54.875,,36.0938,36.0938,,
1999-10-06,55.75,,37.0,37.0,,
1999-10-07,55.25,,36.5625,36.5625,,
1999-10-08,52.8125,,36.375,36.375,,
1999-10-11,53.5625,,36.6875,36.6875,,
1999-10-12,54.0,,36.6563,36.6563,,
1999-10-13,55.1875,,36.8125,36.8125,,
1999-10-14,55.5625,,37.1875,37.1875,,
1999-10-15,55.0,,36.0,36.0,,
1999-10-18,55.5,,36.5,36.5,,
1999-10-19,55.0625,,36.7188,36.7188,,
1999-10-20,57.125,,38.25,38.25,,
1999-10-21,57.375,,38.0313,38.0313,,
1999-10-22,58.4375,,38.4375,38.4375,,
1999-10-25,56.5,,37.0,37.0,,
1999-10-26,56.125,,36.0313,36.0313,,
1999-10-27,56.4375,,35.875,35.875,,
1999-10-28,56.9375,,36.5625,36.5625,,
1999-10-29,57.75,,37.0313,37.0313,,
1999-11-01,57.25,,37.375,37.375,,
1999-11-02,55.25,,37.0625,37.0625,,
1999-11-03,54.25,,36.5,36.5,,
1999-11-04,53.5625,,36.5,36.5,,
1999-11-05,52.3125,,35.3125,35.3125,,
1999-11-08,55.75,,37.1563,37.1563,,
1999-11-09,57.375,,37.6563,37.6563,,
1999-11-10,58.4375,,38.0,38.0,,
1999-11-11,60.0,,38.4063,38.4063,,
1999-11-12,59.8125,,38.9375,38.9375,,
1999-11-15,59.5,,39.0,39.0,,
1999-11-16,61.0625,,39.5938,39.5938,,
1999-11-17,61.4375,,40.125,40.125,,
1999-11-18,61.1875,,40.5313,40.5313,,
1999-11-19,60.4375,,39.8438,39.8438,,
1999-11-22,59.4375,,39.625,39.625,,
1999-11-23,58.8125,,39.0313,39.0313,,
1999-11-24,60.0,,39.5313,39.5313,,
1999-11-26,61.0625,,39.0,39.0,,
1999-11-29,60.875,,39.6875,39.6875,,
1999-11-30,60.9375,,39.6563,39.6563,,
1999-12-01,61.5,,41.25,41.25,,
1999-12-02,59.375,,40.7813,40.7813,,
1999-12-03,59.5,,41.3125,41.3125,,
1999-12-06,60.0,,41.9375,41.9375,,
1999-12-07,59.25,,41.9375,41.9375,,
1999-12-08,60.25,,42.0313,42.0313,,
1999-12-09,61.4375,,43.0625,43.0625,,
1999-12-10,60.625,,41.4063,41.4063,,
1999-12-13,60.0,,41.3438,41.3438,,
1999-12-14,59.4375,,41.1875,41.1875,,
1999-12-15,60.6875,,41.5313,41.5313,,
1999-12-16,62.0,,41.875,41.875,,
1999-12-17,61.875,,41.3125,41.3125,,
1999-12-20,60.75,,40.9532,40.9532,,
1999-12-21,60.4375,,40.375,40.375,,
1999-12-22,60.0,,40.5,40.5,,
1999-12-23,59.6875,,41.9063,41.9063,,
1999-12-27,59.25,,40.625,40.625,,
1999-12-28,59.25,,40.3438,40.3438,,
1999-12-29,59.8125,,40.5938,40.5938,,
1999-12-30,59.5,,40.2188,40.2188,,
1999-12-31,59.3125,,40.2813,40.2813,,
2000-01-03,58.8125,,39.0938,39.0938,,
2000-01-04,58.5,,38.4063,38.4063,,
2000-01-05,60.5,,40.5,40.5,,
2000-01-06,60.625,,42.5938,42.5938,,
2000-01-07,59.5,,42.3125,42.3125,,
2000-01-10,57.75,,41.875,41.875,,
2000-01-11,57.75,,42.375,42.375,,
2000-01-12,56.5625,,41.75,41.75,,
2000-01-13,57.375,,42.625,42.625,,
2000-01-14,55.3125,,41.875,41.875,,
2000-01-18,55.75,,42.1875,42.1875,,
2000-01-19,56.0,,42.7813,42.7813,,
2000-01-20,54.6875,,41.8438,41.8438,,
2000-01-21,56.25,,42.5,42.5,,
2000-01-24,56.0,,42.125,42.125,,
2000-01-25,54.875,,42.0313,42.0313,,
2000-01-26,54.8125,,41.75,41.75,,
2000-01-27,54.125,,40.5,40.5,,
2000-01-28,53.9375,,39.4375,39.4375,,
2000-01-31,53.75,,41.7188,41.7188,,
2000-02-01,54.5,,41.5938,41.5938,,
2000-02-02,53.9375,,41.9063,41.9063,,
2000-02-03,52.1875,,41.125,41.125,,
2000-02-04,49.25,,40.4375,40.4375,,
2000-02-07,48.5,,40.375,40.375,,
2000-02-08,48.125,,39.4688,39.4688,,
2000-02-09,45.875,,38.0313,38.0313,,
2000-02-10,48.125,,37.9375,37.9375,,
2000-02-11,46.625,,36.9375,36.9375,,
2000-02-14,47.4375,,38.2188,38.2188,,
2000-02-15,47.375,,39.6563,39.6563,,
2000-02-16,49.25,,39.8203,39.8203,,
2000-02-17,48.875,,38.9375,38.9375,,
2000-02-18,46.875,,37.5,37.5,,
2000-02-22,45.375,,37.7188,37.7188,,
2000-02-23,45.0,,37.3125,37.3125,,
2000-02-24,43.625,,36.4063,36.4063,,
2000-02-25,44.375,,35.5313,35.5313,,
2000-02-28,45.8125,,36.75,36.75,,
2000-02-29,47.0,,37.6563,37.6563,,
2000-03-01,47.625,,37.375,37.375,,
2000-03-02,47.9375,,38.3125,38.3125,,
2000-03-03,47.5,,37.8438,37.8438,,
2000-03-06,47.1875,,36.4688,36.4688,,
2000-03-07,50.6875,,40.25,40.25,,
2000-03-08,53.0,,39.8125,39.8125,,
2000-03-09,52.875,,40.2188,40.2188,,
2000-03-10,53.375,,38.5,38.5,,
2000-03-13,51.5625,,37.9375,37.9375,,
2000-03-14,51.125,,38.625,38.625,,
2000-03-15,52.75,,38.875,38.875,,
2000-03-16,53.75,,39.875,39.875,,
2000-03-17,51.375,,38.5625,38.5625,,
2000-03-20,50.3125,,37.4375,37.4375,,
2000-03-21,51.75,,38.5,38.5,,
2000-03-22,51.4375,,37.375,37.375,,
2000-03-23,51.5,,37.75,37.75,,
2000-03-24,50.625,,38.625,38.625,,
2000-03-27,49.0,,38.375,38.375,,
2000-03-28,48.375,,38.1563,38.1563,,
2000-03-29,50.3125,,40.2813,40.2813,,
2000-03-30,51.9375,,39.5782,39.5782,,
2000-03-31,53.25,,38.9688,38.9688,,
2000-04-03,52.625,,40.25,40.25,,
2000-04-04,52.6875,,41.25,41.25,,
2000-04-05,51.5,,39.875,39.875,,
2000-04-06,51.9375,,40.875,40.875,,
2000-04-07,51.1875,,39.7813,39.7813,,
2000-04-10,51.125,,39.125,39.125,,
2000-04-11,52.1875,,39.6875,39.6875,,
2000-04-12,52.125,,39.9688,39.9688,,
2000-04-13,51.5,,40.0,40.0,,
2000-04-14,49.6875,,39.375,39.375,,
2000-04-17,47.375,,37.75,37.75,,
2000-04-18,48.125,,38.0938,38.0938,,
2000-04-19,48.8125,,38.7188,38.7188,,
2000-04-20,49.75,,39.5,39.5,,
2000-04-24,49.75,,40.0,40.0,,
2000-04-25,52.25,,40.5,40.5,,
2000-04-26,52.0,,40.0625,40.0625,,
2000-04-27,53.0,,40.3438,40.3438,,
2000-04-28,51.0,,38.8438,38.8438,,
2000-05-01,51.25,,39.0,39.0,,
2000-05-02,51.4375,,39.125,39.125,,
2000-05-03,51.75,,38.5938,38.5938,,
2000-05-04,52.25,,39.75,39.75,,
2000-05-05,54.3125,,40.0,40.0,,
2000-05-08,55.125,,40.125,40.125,,
2000-05-09,53.1875,,39.7188,39.7188,,
2000-05-10,52.8125,,40.75,40.75,,
2000-05-11,55.0,,41.3125,41.3125,,
2000-05-12,54.1484,,41.0117,41.0117,,
2000-05-15,55.0,,41.8125,41.8125,,
2000-05-16,53.875,,41.625,41.625,,
2000-05-17,53.375,,40.6875,40.6875,,
2000-05-18,54.3125,,40.7344,40.7344,,
2000-05-19,54.6875,,40.875,40.875,,
2000-05-22,54.3125,,41.625,41.625,,
2000-05-23,54.0,,41.5,41.5,,
2000-05-24,53.25,,41.4688,41.4688,,
2000-05-25,52.75,,40.7188,40.7188,,
2000-05-26,52.5,,40.7188,40.7188,,
2000-05-30,53.5625,,41.75,41.75,,
2000-05-31,54.5625,,41.6563,41.6563,,
2000-06-01,55.4375,,41.4688,41.4688,,
2000-06-02,56.0,,39.5938,39.5938,,
2000-06-05,56.25,,39.6758,39.6758,,
2000-06-06,57.25,,41.1563,41.1563,,
2000-06-07,55.8125,,40.5625,40.5625,,
2000-06-08,56.1875,,40.0313,40.0313,,
2000-06-09,55.875,,39.5938,39.5938,,
2000-06-12,57.375,,40.375,40.375,,
2000-06-13,57.6875,,40.5938,40.5938,,
2000-06-14,57.375,,41.3125,41.3125,,
2000-06-15,55.5625,,41.2188,41.2188,,
2000-06-16,57.3125,,41.75,41.75,,
2000-06-19,57.4375,,42.0313,42.0313,,
2000-06-20,56.5,,41.625,41.625,,
2000-06-21,57.25,,41.9688,41.9688,,
2000-06-22,57.9375,,41.3438,41.3438,,
2000-06-23,57.875,,41.5625,41.5625,,
2000-06-26,57.875,,41.6797,41.6797,,
2000-06-27,56.9375,,41.0313,41.0313,,
2000-06-28,56.0,,41.0625,41.0625,,
2000-06-29,56.875,,40.6016,40.6016,,
2000-06-30,56.625,,39.4063,39.4063,,
2000-07-03,58.3125,,39.7735,39.7735,,
2000-07-05,53.875,,38.4688,38.4688,,
2000-07-06,54.6875,,39.0938,39.0938,,
2000-07-07,55.375,,39.125,39.125,,
2000-07-10,56.125,,39.0625,39.0625,,
2000-07-11,57.3125,,40.3125,40.3125,,
2000-07-12,55.875,,39.3047,39.3047,,
2000-07-13,54.6875,,39.2188,39.2188,,
2000-07-14,53.4375,,38.7813,38.7813,,
2000-07-17,52.0625,,39.0235,39.0235,,
2000-07-18,52.125,,39.0938,39.0938,,
2000-07-19,53.6875,,39.3438,39.3438,,
2000-07-20,52.5625,,39.0625,39.0625,,
2000-07-21,51.3125,,38.5313,38.5313,,
2000-07-24,50.75,,38.625,38.625,,
2000-07-25,51.5625,,37.6875,37.6875,,
2000-07-26,51.6875,,37.9375,37.9375,,
2000-07-27,53.5625,,40.0,40.0,,
2000-07-28,53.625,,40.0391,40.0391,,
2000-07-31,52.3125,,39.9922,39.9922,,
2000-08-01,51.5625,,39.9688,39.9688,,
2000-08-02,54.0625,,40.7188,40.7188,,
2000-08-03,54.0,,40.7188,40.7188,,
2000-08-04,53.8125,,40.8516,40.8516,,
2000-08-07,55.1875,,40.4453,40.4453,,
2000-08-08,52.75,,40.4063,40.4063,,
2000-08-09,53.0625,,40.5313,40.5313,,
2000-08-10,53.75,,40.9766,40.9766,,
2000-08-11,53.8125,,40.6875,40.6875,,
2000-08-14,54.3125,,41.2813,41.2813,,
2000-08-15,54.4375,,40.6563,40.6563,,
2000-08-16,55.375,,41.3828,41.3828,,
2000-08-17,56.4375,,41.9063,41.9063,,
2000-08-18,55.5,,41.4688,41.4688,,
2000-08-21,56.375,,41.75,41.75,,
2000-08-22,56.625,,41.5625,41.5625,,
2000-08-23,57.25,,42.25,42.25,,
2000-08-24,56.0,,41.25,41.25,,
2000-08-25,56.125,,41.4688,41.4688,,
2000-08-28,56.313,,41.4065,41.4065,,
2000-08-29,57.0,,41.26,41.26,,
2000-08-30,56.125,,40.6775,40.6775,,
2000-08-31,55.25,,40.8125,40.8125,,
2000-09-01,56.188,,41.166,41.166,,
2000-09-05,57.063,,41.4065,41.4065,,
2000-09-06,57.313,,42.0,42.0,,
2000-09-07,57.063,,41.875,41.875,,
