Month,Price,Change
Jun 1997,895.01,-
Jul 1997,832.52,-6.98%
Aug 1997,871.64,4.70%
Sep 1997,873.17,0.18%
Oct 1997,"1,007.61",15.40%
Nov 1997,965.62,-4.17%
Jan 1998,968.71,0.32%
Feb 1998,968.55,-0.02%
Mar 1998,969.80,0.13%
Apr 1998,905.16,-6.67%
May 1998,935.72,3.38%
Jun 1998,913.97,-2.32%
Jul 1998,899.32,-1.60%
Aug 1998,891.55,-0.86%
Sep 1998,869.96,-2.42%
Jun 2002,929.68,6.86%
Jul 2002,974.30,4.80%
Aug 2002,"1,080.88",10.94%
Sep 2002,"1,146.97",6.11%
Oct 2002,"1,107.49",-3.44%
Nov 2002,"1,107.59",0.01%
Dec 2002,"1,094.43",-1.19%
Jan 2003,"1,123.10",2.62%
Feb 2003,"1,159.78",3.27%
Mar 2003,"1,146.46",-1.15%
Apr 2003,"1,114.78",-2.76%
May 2003,"1,106.87",-0.71%
Jun 2003,"1,123.90",1.54%
Jul 2003,"1,020.05",-9.24%
Aug 2003,"1,081.46",6.02%
Sep 2003,"1,127.63",4.27%
Oct 2003,"1,164.08",3.23%
Nov 2003,"1,203.77",3.41%
Dec 2003,"1,259.62",4.64%
Jan 2004,"1,256.36",-0.26%
Feb 2004,"1,353.75",7.75%
Mar 2004,"1,412.85",4.37%
Apr 2004,"1,507.81",6.72%
May 2004,"1,489.19",-1.24%
Jun 2004,"1,403.15",-5.78%
Jul 2004,"1,197.73",-14.64%
Aug 2004,"1,185.89",-0.99%
Sep 2004,"1,123.13",-5.29%
Oct 2004,"1,066.76",-5.02%
Nov 2004,"1,067.55",0.07%
Dec 2004,"1,071.33",0.35%
Jan 2005,"1,080.46",0.85%
Feb 2005,"1,051.34",-2.69%
Mar 2005,"1,114.05",5.96%
Apr 2005,"1,070.97",-3.87%
May 2005,"1,045.04",-2.42%
Jun 2005,"1,056.02",1.05%
Jul 2005,"1,129.03",6.91%
Aug 2005,"1,054.67",-6.59%
Sep 2005,"1,044.98",-0.92%
Oct 2005,"1,100.39",5.30%
Nov 2005,"1,023.84",-6.96%
Dec 2005,"1,091.45",6.60%
Jan 2006,"1,082.98",-0.78%
Feb 2006,"1,120.64",3.48%
Mar 2006,"1,128.22",0.68%
Apr 2006,"1,191.31",5.59%
May 2006,"1,225.29",2.85%
Jun 2006,"1,247.70",1.83%
Jul 2006,"1,255.02",0.59%
Aug 2006,"1,252.56",-0.20%
Sep 2006,"1,321.75",5.52%
Oct 2006,"1,548.67",17.17%
Nov 2006,"1,789.31",15.54%
Dec 2006,"1,742.57",-2.61%
Jan 2007,"1,808.32",3.77%
Feb 2007,"1,950.82",7.88%
Mar 2007,"1,883.45",-3.45%
Apr 2007,"1,675.42",-11.05%
May 2007,"1,692.47",1.02%
Jun 2007,"1,782.35",5.31%
Jul 2007,"1,590.83",-10.75%
Aug 2007,"1,668.00",4.85%
Sep 2007,"1,765.81",5.86%
Oct 2007,"1,775.93",0.57%
Nov 2007,"1,862.29",4.86%
Dec 2007,"1,955.85",5.02%
Jan 2008,"2,253.25",15.21%
Feb 2008,"2,368.10",5.10%
Mar 2008,"2,510.66",6.02%
Apr 2008,"2,592.57",3.26%
May 2008,"2,540.54",-2.01%
Jun 2008,"2,965.62",16.73%
Jul 2008,"2,726.93",-8.05%
Aug 2008,"2,377.03",-12.83%
Sep 2008,"2,489.67",4.74%
Oct 2008,"2,311.04",-7.17%
Nov 2008,"2,152.40",-6.86%
Dec 2008,"2,122.92",-1.37%
Jan 2009,"2,404.43",13.26%
Feb 2009,"2,381.15",-0.97%
Mar 2009,"2,418.53",1.57%
Apr 2009,"2,267.24",-6.26%
May 2009,"2,373.26",4.68%
Jun 2009,"2,386.65",0.56%
Jul 2009,"2,028.33",-15.01%
Aug 2009,"1,977.35",-2.51%
Sep 2009,"2,021.18",2.22%
Oct 2009,"2,211.60",9.42%
