DATE,STATE,PRODUCT,DEMAND
1/1/00,AGUASCALIENTES,TOTAL Magna,37265
1/1/00,AGUASCALIENTES,TOTAL Premium,2561
1/1/00,AGUASCALIENTES,TOTAL Diesel,17853
1/1/00,BAJA CALIFORNIA,TOTAL Magna,100643
1/1/00,BAJA CALIFORNIA,TOTAL Premium,20831
1/1/00,BAJA CALIFORNIA,TOTAL Diesel,42808
1/1/00,BAJA CALIFORNIA SUR,TOTAL Magna,15022
1/1/00,BAJA CALIFORNIA SUR,TOTAL Premium,2959
1/1/00,BAJA CALIFORNIA SUR,TOTAL Diesel,11182
1/1/00,CAMPECHE,TOTAL Magna,11873
1/1/00,CAMPECHE,TOTAL Premium,785
1/1/00,CAMPECHE,TOTAL Diesel,6534
1/1/00,CHIAPAS,TOTAL Magna,39055
1/1/00,CHIAPAS,TOTAL Premium,2717
1/1/00,CHIAPAS,TOTAL Diesel,19018
1/1/00,COAHUILA,TOTAL Magna,41821
1/1/00,COAHUILA,TOTAL Premium,3721
1/1/00,COAHUILA,TOTAL Diesel,32322
1/1/00,CHIHUAHUA,TOTAL Magna,94900
1/1/00,CHIHUAHUA,TOTAL Premium,5540
1/1/00,CHIHUAHUA,TOTAL Diesel,36812
1/1/00,COLIMA,TOTAL Magna,19730
1/1/00,COLIMA,TOTAL Premium,3797
1/1/00,COLIMA,TOTAL Diesel,14595
1/1/00,MEXICO CITY,TOTAL Magna,385984
1/1/00,MEXICO CITY,TOTAL Premium,44867
1/1/00,MEXICO CITY,TOTAL Diesel,93721
1/1/00,DURANGO,TOTAL Magna,54556
1/1/00,DURANGO,TOTAL Premium,4294
1/1/00,DURANGO,TOTAL Diesel,42280
1/1/00,GUANAJUATO,TOTAL Magna,109708
1/1/00,GUANAJUATO,TOTAL Premium,11015
1/1/00,GUANAJUATO,TOTAL Diesel,69467
1/1/00,GUERRERO,TOTAL Magna,33610
1/1/00,GUERRERO,TOTAL Premium,6585
1/1/00,GUERRERO,TOTAL Diesel,12697
1/1/00,HIDALGO,TOTAL Magna,55047
1/1/00,HIDALGO,TOTAL Premium,3343
1/1/00,HIDALGO,TOTAL Diesel,44375
1/1/00,JALISCO,TOTAL Magna,155018
1/1/00,JALISCO,TOTAL Premium,18792
1/1/00,JALISCO,TOTAL Diesel,87263
1/1/00,MEXICO,TOTAL Magna,171258
1/1/00,MEXICO,TOTAL Premium,5555
1/1/00,MEXICO,TOTAL Diesel,67613
1/1/00,MICHOACAN,TOTAL Magna,69281
1/1/00,MICHOACAN,TOTAL Premium,8204
1/1/00,MICHOACAN,TOTAL Diesel,34566
1/1/00,MORELOS,TOTAL Magna,44229
1/1/00,MORELOS,TOTAL Premium,3865
1/1/00,MORELOS,TOTAL Diesel,13446
1/1/00,NAYARIT,TOTAL Magna,6620
1/1/00,NAYARIT,TOTAL Premium,1580
1/1/00,NAYARIT,TOTAL Diesel,2177
1/1/00,NUEVO LEON,TOTAL Magna,119091
1/1/00,NUEVO LEON,TOTAL Premium,18500
1/1/00,NUEVO LEON,TOTAL Diesel,72602
1/1/00,OAXACA,TOTAL Magna,32509
1/1/00,OAXACA,TOTAL Premium,2061
1/1/00,OAXACA,TOTAL Diesel,20595
1/1/00,PUEBLA,TOTAL Magna,90521
1/1/00,PUEBLA,TOTAL Premium,8007
1/1/00,PUEBLA,TOTAL Diesel,46959
1/1/00,QUERETARO,TOTAL Magna,53817
1/1/00,QUERETARO,TOTAL Premium,5154
1/1/00,QUERETARO,TOTAL Diesel,46071
1/1/00,SAN LUIS POTOSI,TOTAL Magna,28455
1/1/00,SAN LUIS POTOSI,TOTAL Premium,6064
1/1/00,SAN LUIS POTOSI,TOTAL Diesel,23138
1/1/00,SINALOA,TOTAL Magna,72292
