Month,Price,Change
Jun 2006,23.82,-
Jul 2006,24.36,2.27%
Aug 2006,24.43,0.30%
Sep 2006,19.89,-18.57%
Oct 2006,19.54,-1.76%
Nov 2006,19.75,1.06%
Dec 2006,19.88,0.67%
Jan 2007,17.85,-10.20%
Feb 2007,19.35,8.38%
Mar 2007,21.01,8.59%
Apr 2007,22.54,7.30%
May 2007,22.11,-1.91%
Jun 2007,22.97,3.87%
Jul 2007,23.20,1.02%
Aug 2007,23.26,0.25%
Sep 2007,25.60,10.03%
Oct 2007,26.16,2.20%
Nov 2007,29.39,12.37%
Dec 2007,28.55,-2.88%
Jan 2008,28.26,-1.02%
Feb 2008,29.87,5.70%
Mar 2008,34.92,16.94%
Apr 2008,36.19,3.61%
May 2008,39.87,10.19%
Jun 2008,40.15,0.69%
Jul 2008,39.28,-2.17%
Aug 2008,33.08,-15.77%
Sep 2008,32.37,-2.17%
Oct 2008,30.28,-6.46%
Nov 2008,25.20,-16.78%
Dec 2008,19.27,-23.50%
Jan 2009,20.76,7.72%
Feb 2009,19.06,-8.19%
Mar 2009,19.67,3.18%
Apr 2009,19.47,-1.01%
May 2009,20.01,2.75%
Jun 2009,24.29,21.41%
Jul 2009,23.02,-5.25%
Aug 2009,25.07,8.91%
Sep 2009,24.10,-3.87%
Oct 2009,26.21,8.79%
Nov 2009,26.19,-0.08%
Dec 2009,25.47,-2.76%
Jan 2010,26.45,3.85%
Feb 2010,26.34,-0.42%
Mar 2010,27.17,3.17%
Apr 2010,27.95,2.85%
May 2010,27.20,-2.67%
Jun 2010,26.81,-1.43%
Jul 2010,26.48,-1.25%
Aug 2010,27.11,2.41%
Sep 2010,27.82,2.61%
Oct 2010,28.62,2.86%
Nov 2010,29.30,2.39%
Dec 2010,30.97,5.70%
Jan 2011,32.06,3.50%
Feb 2011,34.30,6.99%
Mar 2011,37.60,9.63%
Apr 2011,38.30,1.87%
May 2011,35.37,-7.65%
Jun 2011,36.04,1.89%
Jul 2011,37.00,2.67%
Aug 2011,36.78,-0.61%
Sep 2011,39.02,6.09%
Oct 2011,40.48,3.74%
Nov 2011,42.22,4.30%
Dec 2011,40.40,-4.31%
Jan 2012,41.29,2.20%
Feb 2012,41.21,-0.18%
Mar 2012,42.09,2.12%
Apr 2012,42.39,0.71%
May 2012,40.70,-3.97%
Jun 2012,37.76,-7.24%
Jul 2012,39.05,3.42%
Aug 2012,41.90,7.32%
Sep 2012,41.76,-0.35%
Oct 2012,41.63,-0.31%
Nov 2012,41.67,0.10%
Dec 2012,39.50,-5.20%
Jan 2013,39.42,-0.21%
Feb 2013,41.17,4.44%
Mar 2013,38.03,-7.63%
Apr 2013,35.40,-6.92%
May 2013,35.53,0.37%
Jun 2013,37.46,5.42%
Jul 2013,38.47,2.70%
Aug 2013,39.57,2.87%
Sep 2013,39.80,0.58%
Oct 2013,38.93,-2.20%
Nov 2013,38.42,-1.29%
Dec 2013,39.62,3.12%
Jan 2014,41.18,3.92%
Feb 2014,42.89,4.15%
Mar 2014,39.49,-7.92%
Apr 2014,38.68,-2.06%
May 2014,37.97,-1.83%
Jun 2014,38.48,1.34%
Jul 2014,37.41,-2.77%
Aug 2014,37.45,0.10%
Sep 2014,36.26,-3.19%
Oct 2014,34.13,-5.86%
Nov 2014,33.05,-3.16%
Dec 2014,29.48,-10.83%
Jan 2015,24.65,-16.39%
Feb 2015,29.71,20.55%
Mar 2015,28.26,-4.88%
Apr 2015,28.05,-0.75%
May 2015,29.99,6.94%
Jun 2015,29.21,-2.60%
Jul 2015,26.73,-8.50%
Aug 2015,25.07,-6.20%
Sep 2015,25.49,1.67%
Oct 2015,24.39,-4.31%
Nov 2015,23.52,-3.56%
Dec 2015,19.42,-17.44%
Jan 2016,17.69,-8.94%
Feb 2016,19.16,8.34%
Mar 2016,21.03,9.76%
Apr 2016,21.81,3.73%
May 2016,25.78,18.17%
Jun 2016,27.81,7.87%
Jul 2016,25.50,-8.30%
Aug 2016,25.83,1.31%
Sep 2016,27.27,5.56%
Oct 2016,29.47,8.07%
Nov 2016,29.34,-0.43%
Dec 2016,33.68,14.77%
Jan 2017,34.68,2.98%
Feb 2017,32.99,-4.88%
Mar 2017,29.49,-10.61%
Apr 2017,29.77,0.97%
May 2017,28.41,-4.56%
Jun 2017,25.70,-9.56%
