Month,Price,Change
Jun 1997,4.38,-
Jul 1997,4.59,4.83%
Aug 1997,5.49,19.53%
Sep 1997,4.85,-11.70%
Oct 1997,4.89,0.98%
Nov 1997,4.58,-6.39%
Jan 1998,4.05,-11.63%
Feb 1998,3.83,-5.46%
Mar 1998,3.81,-0.51%
Apr 1998,3.99,4.71%
May 1998,4.26,6.74%
Jun 1998,3.94,-7.35%
Jul 1998,3.77,-4.39%
Aug 1998,4.07,7.85%
Sep 1998,4.35,7.08%
Jun 2002,7.15,64.31%
Jul 2002,7.49,4.63%
Aug 2002,7.56,1.05%
Sep 2002,7.83,3.54%
Oct 2002,8.34,6.53%
Nov 2002,7.81,-6.40%
Dec 2002,8.26,5.83%
Jan 2003,9.34,12.97%
Feb 2003,10.89,16.69%
Mar 2003,10.42,-4.33%
Apr 2003,8.46,-18.79%
May 2003,7.80,-7.81%
Jun 2003,8.49,8.79%
Jul 2003,9.12,7.48%
Aug 2003,10.86,19.00%
Sep 2003,9.86,-9.13%
Oct 2003,9.78,-0.88%
Nov 2003,9.83,0.51%
Dec 2003,9.95,1.29%
Jan 2004,10.89,9.44%
Feb 2004,11.53,5.85%
Mar 2004,12.00,4.08%
Apr 2004,12.65,5.39%
May 2004,15.48,22.38%
Jun 2004,13.13,-15.19%
Jul 2004,14.04,6.97%
Aug 2004,13.75,-2.11%
Sep 2004,14.49,5.39%
Oct 2004,15.73,8.60%
Nov 2004,14.43,-8.29%
Dec 2004,11.97,-17.04%
Jan 2005,13.97,16.71%
Feb 2005,13.64,-2.38%
Mar 2005,16.04,17.62%
Apr 2005,16.44,2.51%
May 2005,15.04,-8.55%
Jun 2005,16.33,8.61%
Jul 2005,17.01,4.14%
Aug 2005,20.71,21.75%
Sep 2005,22.98,10.96%
Oct 2005,18.53,-19.38%
Nov 2005,15.68,-15.36%
Dec 2005,17.01,8.47%
Jan 2006,18.30,7.55%
Feb 2006,15.71,-14.13%
Mar 2006,18.98,20.84%
Apr 2006,23.59,24.26%
May 2006,22.63,-4.07%
Jun 2006,23.52,3.93%
Jul 2006,24.58,4.49%
Aug 2006,22.16,-9.84%
Sep 2006,17.40,-21.48%
Oct 2006,16.40,-5.71%
Nov 2006,17.32,5.56%
Dec 2006,18.11,4.60%
Jan 2007,15.68,-13.41%
Feb 2007,18.04,15.02%
Mar 2007,21.53,19.36%
Apr 2007,23.11,7.35%
May 2007,24.29,5.08%
Jun 2007,23.69,-2.48%
Jul 2007,23.11,-2.45%
Aug 2007,22.14,-4.20%
Sep 2007,23.19,4.77%
Oct 2007,23.47,1.22%
Nov 2007,26.39,12.42%
Dec 2007,25.28,-4.20%
Jan 2008,25.46,0.72%
Feb 2008,25.64,0.67%
Mar 2008,26.88,4.87%
Apr 2008,29.03,7.98%
May 2008,32.33,11.36%
Jun 2008,34.00,5.18%
Jul 2008,32.16,-5.43%
Aug 2008,29.28,-8.94%
Sep 2008,29.86,1.95%
Oct 2008,24.25,-18.77%
Nov 2008,16.81,-30.68%
Dec 2008,12.83,-23.67%
Jan 2009,15.91,23.95%
Feb 2009,17.75,11.59%
Mar 2009,18.93,6.67%
Apr 2009,18.53,-2.13%
May 2009,22.23,19.97%
Jun 2009,25.44,14.42%
Jul 2009,23.39,-8.05%
Aug 2009,25.11,7.34%
Sep 2009,23.88,-4.88%
Oct 2009,25.45,6.56%
Nov 2009,26.00,2.16%
Dec 2009,24.68,-5.05%
Jan 2010,26.12,5.80%
Feb 2010,25.41,-2.72%
Mar 2010,26.93,6.01%
Apr 2010,27.25,1.17%
May 2010,25.71,-5.64%
Jun 2010,25.62,-0.36%
Jul 2010,25.57,-0.20%
Aug 2010,24.83,-2.89%
Sep 2010,25.19,1.45%
Oct 2010,26.92,6.86%
Nov 2010,27.66,2.78%
Dec 2010,29.60,6.99%
Jan 2011,29.70,0.35%
Feb 2011,30.89,4.00%
Mar 2011,34.08,10.33%
Apr 2011,37.22,9.19%
May 2011,35.25,-5.29%
Jun 2011,33.46,-5.07%
Jul 2011,35.26,5.40%
Aug 2011,34.64,-1.77%
Sep 2011,36.24,4.63%
Oct 2011,37.30,2.93%
Nov 2011,35.86,-3.86%
Dec 2011,36.23,1.03%
Jan 2012,37.84,4.45%
Feb 2012,38.93,2.86%
Mar 2012,40.37,3.70%
Apr 2012,41.91,3.83%
May 2012,39.20,-6.47%
Jun 2012,36.25,-7.53%
Jul 2012,36.73,1.33%
Aug 2012,39.85,8.48%
Sep 2012,42.29,6.13%
Oct 2012,38.27,-9.50%
Nov 2012,36.91,-3.55%
Dec 2012,35.09,-4.94%
Jan 2013,36.23,3.25%
Feb 2013,38.83,7.18%
Mar 2013,36.49,-6.03%
Apr 2013,33.03,-9.48%
May 2013,33.73,2.13%
Jun 2013,35.50,5.23%
Jul 2013,37.27,4.99%
Aug 2013,37.83,1.50%
Sep 2013,36.52,-3.46%
Oct 2013,34.90,-4.45%
Nov 2013,34.96,0.17%
Dec 2013,35.60,1.84%
Jan 2014,35.30,-0.85%
Feb 2014,37.16,5.27%
Mar 2014,36.33,-2.22%
Apr 2014,37.86,4.21%
May 2014,37.00,-2.28%
Jun 2014,37.62,1.68%
Jul 2014,36.41,-3.21%
Aug 2014,35.55,-2.38%
Sep 2014,36.01,1.30%
Oct 2014,32.31,-10.26%
Nov 2014,29.45,-8.86%
Dec 2014,24.39,-17.19%
Jan 2015,20.03,-17.86%
Feb 2015,23.98,19.70%
Mar 2015,25.03,4.39%
Apr 2015,27.29,9.01%
May 2015,29.58,8.41%
Jun 2015,31.02,4.87%
Jul 2015,29.57,-4.70%
Aug 2015,26.79,-9.38%
Sep 2015,24.55,-8.38%
Oct 2015,23.15,-5.70%
Nov 2015,22.92,-0.97%
Dec 2015,21.78,-5.00%
Jan 2016,20.25,-7.01%
Feb 2016,19.57,-3.38%
Mar 2016,21.22,8.47%
Apr 2016,25.33,19.35%
May 2016,28.39,12.09%
Jun 2016,28.09,-1.08%
Jul 2016,25.20,-10.27%
Aug 2016,25.46,1.04%
Sep 2016,27.69,8.75%
Oct 2016,28.77,3.90%
Nov 2016,29.32,1.92%
Dec 2016,33.51,14.29%
Jan 2017,34.59,3.23%
Feb 2017,31.42,-9.16%
Mar 2017,28.77,-8.44%
Apr 2017,30.24,5.10%
May 2017,28.90,-4.43%
Jun 2017,26.21,-9.33%
