,AMX,CX,FMX,ALFAA,PAC,BIMBOA,GISSAA,ANB,SANMEXB,SIEN,AZTECACPO,TV,WALMEX
1999-07-21,,,13.4449,,,,,,,,,10.8906,
1999-07-22,,,13.2576,,,,,,,,,10.6875,
1999-07-23,,,12.4043,,,,,,,,,10.0938,
1999-07-26,,,11.8007,,,,,,,,,9.6563,
1999-07-27,,,11.8423,,,,,,,,,9.9219,
1999-07-28,,,12.0504,,,,,,,,,10.25,
1999-07-29,,,11.5301,,,,,,,,,9.7656,
1999-07-30,,,11.4469,,,,,,,,,9.5938,
1999-08-02,,,11.1139,,,,,,,,,9.1406,
1999-08-03,,,11.3844,,,,,,,,,9.4844,
1999-08-04,,,11.3844,,,,,,,,,9.1563,
1999-08-05,,,11.2804,,,,,,,,,9.0156,
1999-08-06,,,11.1139,,,,,,,,,9.0781,
1999-08-09,,,11.1555,,,,,,,,,9.25,
1999-08-10,,,11.1139,,,,,,,,,9.3594,
1999-08-11,,,11.5718,,,,,,,,,9.5,
1999-08-12,,,11.6758,,,,,,,,,9.5,
1999-08-13,,,11.988,,,,,,,,,10.125,
1999-08-16,,,11.9048,,,,,,,,,9.9688,
1999-08-17,,,12.0296,,,,,,,,,9.9844,
1999-08-18,,,11.7383,,,,,,,,,9.6426,
1999-08-19,,,11.3636,,,,,,,,,9.5156,
1999-08-20,,,11.0098,,,,,,,,,9.6563,
1999-08-23,,,11.1555,,,,,,,,,9.6406,
1999-08-24,,,11.2388,,,,,,,,,9.3906,
1999-08-25,,,11.5093,,,,,,,,,9.7031,
1999-08-26,,,11.4469,,,,,,,,,9.7188,
1999-08-27,,,11.1139,,,,,,,,,9.6406,
1999-08-30,,,10.9058,,,,,,,,,9.4375,
1999-08-31,,,11.0098,,,,,,,,,9.0313,
1999-09-01,,,11.0514,,,,,,,,,9.1406,
1999-09-02,,,10.6976,,,,,,,,,9.0625,
1999-09-03,,,10.656,,,,,,,,,9.125,
1999-09-07,,,10.1981,,,,,,,,,8.9688,
1999-09-08,,,10.323,,,,,,,,,8.625,
1999-09-09,,,10.1773,,,,,,,,,8.4844,
1999-09-10,,,10.4895,,,,,,,,,9.0313,
1999-09-13,,,10.7393,,,,,,,,,9.2031,
1999-09-14,,,10.3438,,,,,,,,,9.0625,
1999-09-15,,10.9676,9.9692,,,,,,,,,8.9531,
1999-09-16,,10.9676,9.8651,,,,,,,,,8.7188,
1999-09-17,,11.0915,9.8235,,,,,,,,,8.875,
1999-09-20,,11.3883,9.99,,,,,,,,,9.0156,
1999-09-21,,11.238,10.1149,,,,,,,,,8.9375,
1999-09-22,,11.238,10.3022,,,,,,,,,9.2813,
1999-09-23,,11.238,10.3438,,,,,,,,,9.5156,
1999-09-24,,11.208,10.323,,,,,,,,,9.7031,
1999-09-27,,11.3282,10.5728,,,,,,,,,9.9219,
1999-09-28,,11.3883,10.5936,,,,,,,,,10.0313,
1999-09-29,,11.5085,10.6144,,,,,,,,,9.9688,
1999-09-30,,11.5986,10.4271,,,,,,,,,9.9844,
1999-10-01,,11.5385,10.1149,,,,,,,,,10.0,
1999-10-04,,11.3883,10.0941,,,,,,,,,10.1875,
1999-10-05,,11.1779,10.0524,,,,,,,,,10.1563,
1999-10-06,,11.5385,10.4687,,,,,,,,,10.3438,
1999-10-07,,11.5385,10.5519,,,,,,,,,10.2031,
1999-10-08,,11.5686,11.2388,,,,,,,,,10.3906,
1999-10-11,,11.6287,11.4677,,,,,,,,,10.4219,
1999-10-12,,11.2681,11.1139,,,,,,,,,10.25,
1999-10-13,,10.7572,10.8849,,,,,,,,,10.0938,
1999-10-14,,10.4267,10.6352,,,,,,,,,9.75,
1999-10-15,,9.6755,9.9484,,,,,,,,,9.2188,
1999-10-18,,9.4351,10.4063,,,,,,,,,9.4844,
1999-10-19,,9.8859,10.9682,,,,,,,,,10.0,
1999-10-20,,10.1262,11.0723,,,,,,,,,10.1094,
1999-10-21,,9.9159,10.9682,,,,,,,,,10.25,
1999-10-22,,10.2764,11.0931,,,,,,,,,10.375,
1999-10-25,,10.3666,10.6768,,,,,,,,,10.2813,
1999-10-26,,10.0061,10.4895,,,,,,,,,10.0,
1999-10-27,,10.0361,10.4687,,,,,,,,,10.0313,
1999-10-28,,10.3365,10.6144,,,,,,,,,10.2344,
1999-10-29,,10.8173,10.9266,,,,,,,,,10.625,
1999-11-01,,10.9976,10.9474,,,,,,,,,10.5938,
1999-11-02,,11.4784,11.2179,,,,,,,,,11.1094,
1999-11-03,,11.4784,11.7383,,,,,,,,,11.4063,
1999-11-04,,11.4183,12.3002,,,,,,,,,11.5938,
1999-11-05,,11.3582,12.5291,,,,,,,,,11.4844,
1999-11-08,,11.4183,12.4459,,,,,,,,,11.7344,
1999-11-09,,11.3883,12.2169,,,,,,,,,11.5,
1999-11-10,,11.8389,12.2794,,,,,,,,,11.7031,
1999-11-11,,12.2596,12.4043,,,,,,,,,11.8438,
1999-11-12,,12.1394,12.5708,,,,,,,,,11.8594,
1999-11-15,,12.1394,12.7581,,,,,,,,,12.0625,
1999-11-16,,12.0192,12.9454,,,,,,,,,12.0781,
1999-11-17,,12.0192,13.1119,,,,,,,,,11.9531,
1999-11-18,,11.9591,13.1535,,,,,,,,,12.2188,
1999-11-19,,11.899,13.2368,,,,,,,,,13.4531,
1999-11-22,,11.1178,12.7997,,,,,,,,,12.7813,
1999-11-23,,11.2981,12.7373,,,,,,,,,12.5938,
1999-11-24,,11.7488,12.8205,,,,,,,,,12.5,
