,DATE,BP,CVX,XOM,XOM.1,RDS.A,RDS.B,AMX,CX,FMX,ALFAA,PAC,BIMBOA,GISSAA,ANB,SANMEXB,SIEN,AZTECACPO,TV,WALMEX
0,1999-07-21,57.0,,39.0625,39.0625,,,,,13.4449,,,,,,,,,10.8906,
1,1999-07-22,56.5313,,39.0938,39.0938,,,,,13.2576,,,,,,,,,10.6875,
2,1999-07-23,57.0313,,39.5625,39.5625,,,,,12.4043,,,,,,,,,10.0938,
3,1999-07-26,55.875,,39.0,39.0,,,,,11.8007,,,,,,,,,9.6563,
4,1999-07-27,56.75,,38.7813,38.7813,,,,,11.8423,,,,,,,,,9.9219,
5,1999-07-28,57.25,,39.4688,39.4688,,,,,12.0504,,,,,,,,,10.25,
6,1999-07-29,57.2188,,38.9375,38.9375,,,,,11.5301,,,,,,,,,9.7656,
7,1999-07-30,57.9375,,39.6875,39.6875,,,,,11.4469,,,,,,,,,9.5938,
8,1999-08-02,58.2188,,38.9375,38.9375,,,,,11.1139,,,,,,,,,9.1406,
9,1999-08-03,58.3438,,39.4063,39.4063,,,,,11.3844,,,,,,,,,9.4844,
10,1999-08-04,58.75,,39.9375,39.9375,,,,,11.3844,,,,,,,,,9.1563,
11,1999-08-05,59.25,,41.0938,41.0938,,,,,11.2804,,,,,,,,,9.0156,
12,1999-08-06,59.3125,,40.1875,40.1875,,,,,11.1139,,,,,,,,,9.0781,
13,1999-08-09,59.125,,40.1875,40.1875,,,,,11.1555,,,,,,,,,9.25,
14,1999-08-10,58.75,,40.5938,40.5938,,,,,11.1139,,,,,,,,,9.3594,
15,1999-08-11,58.75,,40.9688,40.9688,,,,,11.5718,,,,,,,,,9.5,
16,1999-08-12,58.8438,,40.9063,40.9063,,,,,11.6758,,,,,,,,,9.5,
17,1999-08-13,59.375,,40.7813,40.7813,,,,,11.988,,,,,,,,,10.125,
18,1999-08-16,59.3438,,40.7813,40.7813,,,,,11.9048,,,,,,,,,9.9688,
19,1999-08-17,59.625,,40.9063,40.9063,,,,,12.0296,,,,,,,,,9.9844,
20,1999-08-18,59.2188,,41.1016,41.1016,,,,,11.7383,,,,,,,,,9.6426,
21,1999-08-19,58.6875,,40.9063,40.9063,,,,,11.3636,,,,,,,,,9.5156,
22,1999-08-20,58.8125,,41.2813,41.2813,,,,,11.0098,,,,,,,,,9.6563,
23,1999-08-23,59.4063,,41.4063,41.4063,,,,,11.1555,,,,,,,,,9.6406,
24,1999-08-24,58.1563,,40.8125,40.8125,,,,,11.2388,,,,,,,,,9.3906,
25,1999-08-25,57.1563,,41.125,41.125,,,,,11.5093,,,,,,,,,9.7031,
26,1999-08-26,55.1875,,40.1563,40.1563,,,,,11.4469,,,,,,,,,9.7188,
27,1999-08-27,55.1875,,39.6563,39.6563,,,,,11.1139,,,,,,,,,9.6406,
28,1999-08-30,55.1875,,38.9063,38.9063,,,,,10.9058,,,,,,,,,9.4375,
29,1999-08-31,55.9219,,39.4375,39.4375,,,,,11.0098,,,,,,,,,9.0313,
30,1999-09-01,56.75,,39.1563,39.1563,,,,,11.0514,,,,,,,,,9.1406,
31,1999-09-02,55.5938,,38.75,38.75,,,,,10.6976,,,,,,,,,9.0625,
32,1999-09-03,56.4688,,39.5313,39.5313,,,,,10.656,,,,,,,,,9.125,
33,1999-09-07,55.9688,,39.75,39.75,,,,,10.1981,,,,,,,,,8.9688,
34,1999-09-08,55.5625,,40.5938,40.5938,,,,,10.323,,,,,,,,,8.625,
35,1999-09-09,57.9063,,40.625,40.625,,,,,10.1773,,,,,,,,,8.4844,
36,1999-09-10,57.9375,,40.2188,40.2188,,,,,10.4895,,,,,,,,,9.0313,
37,1999-09-13,57.2188,,39.3125,39.3125,,,,,10.7393,,,,,,,,,9.2031,
38,1999-09-14,56.9063,,39.5938,39.5938,,,,,10.3438,,,,,,,,,9.0625,
39,1999-09-15,55.4688,,38.625,38.625,,,,10.9676,9.9692,,,,,,,,,8.9531,
40,1999-09-16,54.6875,,38.8438,38.8438,,,,10.9676,9.8651,,,,,,,,,8.7188,
41,1999-09-17,54.625,,39.9375,39.9375,,,,11.0915,9.8235,,,,,,,,,8.875,
42,1999-09-20,53.5625,,39.0938,39.0938,,,,11.3883,9.99,,,,,,,,,9.0156,
43,1999-09-21,52.875,,38.375,38.375,,,,11.238,10.1149,,,,,,,,,8.9375,
44,1999-09-22,54.125,,37.6875,37.6875,,,,11.238,10.3022,,,,,,,,,9.2813,
45,1999-09-23,54.5938,,37.4063,37.4063,,,,11.238,10.3438,,,,,,,,,9.5156,
46,1999-09-24,54.0,,37.4063,37.4063,,,,11.208,10.323,,,,,,,,,9.7031,
47,1999-09-27,53.9688,,37.5625,37.5625,,,,11.3282,10.5728,,,,,,,,,9.9219,
48,1999-09-28,53.125,,37.3438,37.3438,,,,11.3883,10.5936,,,,,,,,,10.0313,
49,1999-09-29,53.5938,,37.375,37.375,,,,11.5085,10.6144,,,,,,,,,9.9688,
50,1999-09-30,55.4063,,38.0,38.0,,,,11.5986,10.4271,,,,,,,,,9.9844,
51,1999-10-01,56.5625,,37.3125,37.3125,,,,11.5385,10.1149,,,,,,,,,10.0,
52,1999-10-04,56.625,,36.5,36.5,,,,11.3883,10.0941,,,,,,,,,10.1875,
53,1999-10-05,54.875,,36.0938,36.0938,,,,11.1779,10.0524,,,,,,,,,10.1563,
54,1999-10-06,55.75,,37.0,37.0,,,,11.5385,10.4687,,,,,,,,,10.3438,
55,1999-10-07,55.25,,36.5625,36.5625,,,,11.5385,10.5519,,,,,,,,,10.2031,
56,1999-10-08,52.8125,,36.375,36.375,,,,11.5686,11.2388,,,,,,,,,10.3906,
57,1999-10-11,53.5625,,36.6875,36.6875,,,,11.6287,11.4677,,,,,,,,,10.4219,
