,DATE,Cocoa,Corn,Cotton,Rubber,Sugar,BP,CVX,XOM,XOM.1,RDS.A,RDS.B,AMX,CX,FMX,ALFAA,PAC,BIMBOA,GISSAA,ANB,SANMEXB,SIEN,AZTECACPO,TV,WALMEX,TOTAL Diesel,TOTAL Magna,TOTAL Premium
176,2000-01-01,,,,,,56.64375,,41.51408,41.51408,,,,11.789375,14.575,,,,,,,,,15.66095,,1255097,2221120,263004
177,2000-02-01,,,,,,47.90625,,38.66604,38.66604,,,,10.898455,15.19313,,,,,,,,,18.503125,,1310000,2188110,267846
178,2000-03-01,,,,,,50.8369565217,,38.5958043478,38.5958043478,,,,11.9813565217,16.5396086957,,,,,,,,,18.8491956522,,1427792,2373716,299435
179,2000-04-01,,,,,,50.9802631579,,39.6842263158,39.6842263158,,,,10.6386210526,14.0615894737,,,,,,,,,15.4506736842,,1255183,2173674,286169
180,2000-05-01,,,,,,53.52095,,40.6617681818,40.6617681818,,,,10.1508136364,11.9577409091,,,,,,,,,14.2201772727,,1466113,2364216,318323
181,2000-06-01,,,,,,56.7926136364,,40.8929636364,40.8929636364,,,,10.2928272727,13.0399909091,,,,,,,,,15.7464681818,,1429526,2276041,309732
182,2000-07-01,,,,,,53.746875,,39.123855,39.123855,,,,11.829205,14.26698,,,,,,,,,16.963295,,1381452,2261085,319364
183,2000-08-01,,,,,,55.0054565217,,41.0625347826,41.0625347826,,,,11.1949217391,14.2104304348,,,,,,,,,16.0265130435,,1482271,2354665,342138
184,2000-09-01,,,,,,54.7565,,43.097925,43.097925,,,,10.9842,14.26809,,,,,,,,,15.777435,,1369123,2232374,308724
185,2000-10-01,,,,,,53.3355,,44.7047045455,44.7047045455,,,,9.82852727273,12.2983818182,,,,,,,,,12.7834681818,,1436269,2288980,326285
186,2000-11-01,,,,,,50.2229047619,,45.2921666667,45.2921666667,,,,9.87386190476,12.4608095238,,,,,,,,,12.8215238095,,1437190,2292897,333842
187,2000-12-01,,,,,,47.63145,,43.515925,43.515925,,,,9.02353,10.644635,,,,,,,,,11.869595,,1323183,2452291,369685
188,2001-01-01,,,,,,49.9247619048,,41.0733809524,41.0733809524,,,,9.65581428571,10.483152381,,,,,,,,,12.4776,,1349086,2318470,350080
189,2001-02-01,,,,,,50.84,,41.9347368421,41.9347368421,,,3.33012,10.0091052632,10.2290736842,,,,,,,,,11.6476315789,,1241098,2109095,314984
190,2001-03-01,,,,,,49.8495454545,,40.8095454545,40.8095454545,,,2.70215,10.6400818182,11.3307863636,,,,,,,,,9.26431818182,,1424121,2375984,368087
191,2001-04-01,,,,,,51.7595,,42.1195,42.1195,,,2.69632,10.676435,12.48701,,,,,,,,,9.002625,,1299273,2215900,354768
192,2001-05-01,,,,,,52.8840909091,,44.1945454545,44.1945454545,,,3.39048181818,11.8507409091,13.5437318182,,,,,,,,,10.3669318182,,1467755,2398071,392673
193,2001-06-01,,,,,,52.6728571429,,44.4580952381,44.4580952381,,,3.47874285714,12.5160285714,14.4239857143,,,,,,,,,10.2869047619,,1362574,2300162,375848
194,2001-07-01,,,,,,48.1542857143,,42.7752380952,42.7752380952,,,3.2761,13.0015904762,13.2859190476,,,,,,,,,9.69452380952,,1342120,2308345,389128
195,2001-08-01,,,,,,51.1691304348,,40.9956521739,40.9956521739,,,3.11470434783,12.8079,13.1416391304,,,,,,,,,9.78391304348,,1375128,2358974,407866
196,2001-09-01,,,,,,47.884,,38.7913333333,38.7913333333,,,2.30014,10.6352533333,10.3145666667,,,,,,,,,7.46416666667,,1213582,2152748,365011
197,2001-10-01,,,,,,49.3773913043,44.4640625,40.7691304348,40.7691304348,,,2.4476173913,11.0445173913,10.1693826087,,,,,,,,,7.65913043478,,1380755,2376378,411276
198,2001-11-01,,,,,,46.1780952381,43.2566666667,38.5852380952,38.5852380952,,,2.66946666667,11.3981285714,10.8757857143,,,,,,,,,8.66178571429,,1324354,2289326,394701
199,2001-12-01,,,,,,44.8515,43.56425,38.1485,38.1485,,,3.14493,12.29711,11.784215,,,,,,,,,9.9615,,1287280,2448889,443057
200,2002-01-01,,,,,,45.3395238095,43.9011904762,38.9880952381,38.9880952381,,,3.25073809524,12.3649238095,12.6551238095,,,,,,,,,10.9327380952,,1266391,2329701,421879
201,2002-02-01,,,,,,47.7578947368,41.5215789474,39.2736842105,39.2736842105,,,3.03907894737,11.9572315789,13.1775105263,,,,,,,,,10.4723684211,,1163352,2093195,370774
202,2002-03-01,,,,,,51.994,44.45175,43.303,43.303,,,3.2883,13.661775,14.686815,,,,,,,,,11.654625,,1243249,2282447,420559
203,2002-04-01,,,,,,51.4718181818,43.5315909091,42.0686363636,42.0686363636,,,3.17909090909,14.8568590909,15.6644909091,,,,,,,,,11.7340909091,,1304531,2274845,430373
204,2002-05-01,,,,,,51.2986363636,44.2463636364,39.9940909091,39.9940909091,,,3.07889090909,14.9656909091,15.1080727273,,,,,,,,,10.7975,,1355640,2397041,490281
0,2002-06-01,16528.65,929.68,4.34,3.8,0.52,48.789,43.52925,39.5675,39.5675,,,2.456625,13.57644,13.41908,,,,,,,,,9.848875,,1280501,2182239,443882
1,2002-07-01,18293.72,974.3,4.56,3.69,0.57,45.9113636364,39.5443181818,36.3563636364,36.3563636364,,,2.26925,12.2390681818,13.2960909091,,,,,,,,,8.56931818182,,1396257,2372359,502213
