,BP,CVX,XOM,XOM.1,RDS.A,RDS.B,AMX,CX,FMX,ALFAA,PAC,BIMBOA,GISSAA,ANB,SANMEXB,SIEN,AZTECACPO,TV,WALMEX,DATE
0,56.9492375,,39.1992375,39.1992375,,,,,12.22215,,,,,,,,,10.1074375,,1999-07-01
1,58.2095363636,,40.4307863636,40.4307863636,,,,,11.3730954545,,,,,,,,,9.49725454545,,1999-08-01
2,55.2544904762,,38.8184761905,38.8184761905,,,,11.2633833333,10.362647619,,,,,,,,,9.2195047619,,1999-09-01
3,55.8303571429,,36.8393,36.8393,,,,10.6527904762,10.6788095238,,,,,,,,,10.1146,,1999-10-01
4,58.5119047619,,38.5015095238,38.5015095238,,,,11.7030095238,12.5103142857,,,,,,,,,11.9814142857,,1999-11-01
5,60.1789772727,,41.2166454545,41.2166454545,,,,12.7171863636,14.0408681818,,,,,,,,,15.5511545455,,1999-12-01
6,56.64375,,41.51408,41.51408,,,,11.789375,14.575,,,,,,,,,15.66095,,2000-01-01
7,47.90625,,38.66604,38.66604,,,,10.898455,15.19313,,,,,,,,,18.503125,,2000-02-01
8,50.8369565217,,38.5958043478,38.5958043478,,,,11.9813565217,16.5396086957,,,,,,,,,18.8491956522,,2000-03-01
9,50.9802631579,,39.6842263158,39.6842263158,,,,10.6386210526,14.0615894737,,,,,,,,,15.4506736842,,2000-04-01
10,53.52095,,40.6617681818,40.6617681818,,,,10.1508136364,11.9577409091,,,,,,,,,14.2201772727,,2000-05-01
11,56.7926136364,,40.8929636364,40.8929636364,,,,10.2928272727,13.0399909091,,,,,,,,,15.7464681818,,2000-06-01
12,53.746875,,39.123855,39.123855,,,,11.829205,14.26698,,,,,,,,,16.963295,,2000-07-01
13,55.0054565217,,41.0625347826,41.0625347826,,,,11.1949217391,14.2104304348,,,,,,,,,16.0265130435,,2000-08-01
14,54.7565,,43.097925,43.097925,,,,10.9842,14.26809,,,,,,,,,15.777435,,2000-09-01
15,53.3355,,44.7047045455,44.7047045455,,,,9.82852727273,12.2983818182,,,,,,,,,12.7834681818,,2000-10-01
16,50.2229047619,,45.2921666667,45.2921666667,,,,9.87386190476,12.4608095238,,,,,,,,,12.8215238095,,2000-11-01
17,47.63145,,43.515925,43.515925,,,,9.02353,10.644635,,,,,,,,,11.869595,,2000-12-01
18,49.9247619048,,41.0733809524,41.0733809524,,,,9.65581428571,10.483152381,,,,,,,,,12.4776,,2001-01-01
19,50.84,,41.9347368421,41.9347368421,,,3.33012,10.0091052632,10.2290736842,,,,,,,,,11.6476315789,,2001-02-01
20,49.8495454545,,40.8095454545,40.8095454545,,,2.70215,10.6400818182,11.3307863636,,,,,,,,,9.26431818182,,2001-03-01
21,51.7595,,42.1195,42.1195,,,2.69632,10.676435,12.48701,,,,,,,,,9.002625,,2001-04-01
