,DATE,PRODUCT,DEMAND
0,2000-01-01,TOTAL Diesel,1255097
1,2000-01-01,TOTAL Magna,2221120
2,2000-01-01,TOTAL Premium,263004
3,2000-02-01,TOTAL Diesel,1310000
4,2000-02-01,TOTAL Magna,2188110
5,2000-02-01,TOTAL Premium,267846
6,2000-03-01,TOTAL Diesel,1427792
7,2000-03-01,TOTAL Magna,2373716
8,2000-03-01,TOTAL Premium,299435
9,2000-04-01,TOTAL Diesel,1255183
10,2000-04-01,TOTAL Magna,2173674
11,2000-04-01,TOTAL Premium,286169
12,2000-05-01,TOTAL Diesel,1466113
13,2000-05-01,TOTAL Magna,2364216
14,2000-05-01,TOTAL Premium,318323
15,2000-06-01,TOTAL Diesel,1429526
16,2000-06-01,TOTAL Magna,2276041
17,2000-06-01,TOTAL Premium,309732
18,2000-07-01,TOTAL Diesel,1381452
19,2000-07-01,TOTAL Magna,2261085
20,2000-07-01,TOTAL Premium,319364
21,2000-08-01,TOTAL Diesel,1482271
22,2000-08-01,TOTAL Magna,2354665
23,2000-08-01,TOTAL Premium,342138
24,2000-09-01,TOTAL Diesel,1369123
25,2000-09-01,TOTAL Magna,2232374
26,2000-09-01,TOTAL Premium,308724
27,2000-10-01,TOTAL Diesel,1436269
28,2000-10-01,TOTAL Magna,2288980
29,2000-10-01,TOTAL Premium,326285
30,2000-11-01,TOTAL Diesel,1437190
31,2000-11-01,TOTAL Magna,2292897
32,2000-11-01,TOTAL Premium,333842
33,2000-12-01,TOTAL Diesel,1323183
34,2000-12-01,TOTAL Magna,2452291
35,2000-12-01,TOTAL Premium,369685
36,2001-01-01,TOTAL Diesel,1349086
37,2001-01-01,TOTAL Magna,2318470
38,2001-01-01,TOTAL Premium,350080
39,2001-02-01,TOTAL Diesel,1241098
40,2001-02-01,TOTAL Magna,2109095
41,2001-02-01,TOTAL Premium,314984
42,2001-03-01,TOTAL Diesel,1424121
43,2001-03-01,TOTAL Magna,2375984
44,2001-03-01,TOTAL Premium,368087
45,2001-04-01,TOTAL Diesel,1299273
46,2001-04-01,TOTAL Magna,2215900
47,2001-04-01,TOTAL Premium,354768
48,2001-05-01,TOTAL Diesel,1467755
49,2001-05-01,TOTAL Magna,2398071
50,2001-05-01,TOTAL Premium,392673
51,2001-06-01,TOTAL Diesel,1362574
52,2001-06-01,TOTAL Magna,2300162
53,2001-06-01,TOTAL Premium,375848
54,2001-07-01,TOTAL Diesel,1342120
55,2001-07-01,TOTAL Magna,2308345
56,2001-07-01,TOTAL Premium,389128
57,2001-08-01,TOTAL Diesel,1375128
58,2001-08-01,TOTAL Magna,2358974
59,2001-08-01,TOTAL Premium,407866
60,2001-09-01,TOTAL Diesel,1213582
61,2001-09-01,TOTAL Magna,2152748
62,2001-09-01,TOTAL Premium,365011
63,2001-10-01,TOTAL Diesel,1380755
64,2001-10-01,TOTAL Magna,2376378
65,2001-10-01,TOTAL Premium,411276
66,2001-11-01,TOTAL Diesel,1324354
67,2001-11-01,TOTAL Magna,2289326
68,2001-11-01,TOTAL Premium,394701
69,2001-12-01,TOTAL Diesel,1287280
70,2001-12-01,TOTAL Magna,2448889
71,2001-12-01,TOTAL Premium,443057
72,2002-01-01,TOTAL Diesel,1266391
73,2002-01-01,TOTAL Magna,2329701
74,2002-01-01,TOTAL Premium,421879
75,2002-02-01,TOTAL Diesel,1163352
76,2002-02-01,TOTAL Magna,2093195
77,2002-02-01,TOTAL Premium,370774
78,2002-03-01,TOTAL Diesel,1243249
79,2002-03-01,TOTAL Magna,2282447
80,2002-03-01,TOTAL Premium,420559
81,2002-04-01,TOTAL Diesel,1304531
82,2002-04-01,TOTAL Magna,2274845
83,2002-04-01,TOTAL Premium,430373
84,2002-05-01,TOTAL Diesel,1355640
85,2002-05-01,TOTAL Magna,2397041
86,2002-05-01,TOTAL Premium,490281
87,2002-06-01,TOTAL Diesel,1280501
88,2002-06-01,TOTAL Magna,2182239
89,2002-06-01,TOTAL Premium,443882
90,2002-07-01,TOTAL Diesel,1396257
91,2002-07-01,TOTAL Magna,2372359
92,2002-07-01,TOTAL Premium,502213
93,2002-08-01,TOTAL Diesel,1364556
94,2002-08-01,TOTAL Magna,2361050
95,2002-08-01,TOTAL Premium,500692
96,2002-09-01,TOTAL Diesel,1250660
97,2002-09-01,TOTAL Magna,2175618
98,2002-09-01,TOTAL Premium,452675
99,2002-10-01,TOTAL Diesel,1441192
100,2002-10-01,TOTAL Magna,2386913
101,2002-10-01,TOTAL Premium,497473
102,2002-11-01,TOTAL Diesel,1339654
103,2002-11-01,TOTAL Magna,2302422
104,2002-11-01,TOTAL Premium,467856
105,2002-12-01,TOTAL Diesel,1384255
106,2002-12-01,TOTAL Magna,2564996
107,2002-12-01,TOTAL Premium,592032
108,2003-01-01,TOTAL Diesel,1340206
109,2003-01-01,TOTAL Magna,2393649
110,2003-01-01,TOTAL Premium,534655
111,2003-02-01,TOTAL Diesel,1285671
112,2003-02-01,TOTAL Magna,2198401
113,2003-02-01,TOTAL Premium,490812
114,2003-03-01,TOTAL Diesel,1419415
115,2003-03-01,TOTAL Magna,2382326
116,2003-03-01,TOTAL Premium,540157
117,2003-04-01,TOTAL Diesel,1417276
118,2003-04-01,TOTAL Magna,2380815
119,2003-04-01,TOTAL Premium,562308
