Month,Price,Change
Jun 1997,4.01,-
Jul 1997,3.33,-16.93%
Aug 1997,3.23,-2.90%
Sep 1997,3.07,-5.16%
Oct 1997,3.32,8.27%
Nov 1997,3.14,-5.56%
Jan 1998,2.60,-17.17%
Feb 1998,3.18,22.40%
Mar 1998,2.88,-9.47%
Apr 1998,2.97,3.24%
May 1998,3.13,5.44%
Jun 1998,2.86,-8.59%
Jul 1998,2.85,-0.68%
Aug 1998,2.99,5.12%
Sep 1998,3.14,5.11%
Jun 2002,3.80,21.00%
Jul 2002,3.69,-3.09%
Aug 2002,3.85,4.41%
Sep 2002,4.07,5.66%
Oct 2002,3.79,-6.92%
Nov 2002,3.88,2.63%
Dec 2002,3.93,1.25%
Jan 2003,4.37,11.00%
Feb 2003,4.89,12.08%
Mar 2003,5.26,7.47%
Apr 2003,4.79,-8.88%
May 2003,4.65,-2.88%
Jun 2003,4.91,5.46%
Jul 2003,4.77,-2.88%
Aug 2003,5.14,7.87%
Sep 2003,5.51,7.26%
Oct 2003,6.58,19.39%
Nov 2003,6.48,-1.59%
Dec 2003,6.45,-0.51%
Jan 2004,6.28,-2.60%
Feb 2004,6.48,3.21%
Mar 2004,6.74,3.99%
Apr 2004,7.11,5.52%
May 2004,7.15,0.58%
Jun 2004,7.15,-0.05%
Jul 2004,6.80,-4.92%
Aug 2004,6.51,-4.18%
Sep 2004,6.61,1.50%
Oct 2004,6.69,1.23%
Nov 2004,6.51,-2.75%
Dec 2004,6.16,-5.33%
Jan 2005,6.10,-0.95%
Feb 2005,6.42,5.26%
Mar 2005,6.72,4.66%
Apr 2005,6.70,-0.38%
May 2005,6.80,1.48%
Jun 2005,7.17,5.50%
Jul 2005,8.25,15.01%
Aug 2005,7.85,-4.80%
Sep 2005,8.34,6.23%
Oct 2005,8.46,1.39%
Nov 2005,7.85,-7.16%
Dec 2005,8.21,4.64%
Jan 2006,9.06,10.32%
Feb 2006,9.89,9.14%
Mar 2006,10.22,3.34%
Apr 2006,10.89,6.58%
May 2006,12.39,13.73%
Jun 2006,14.10,13.81%
Jul 2006,12.54,-11.05%
Aug 2006,10.91,-13.00%
Sep 2006,9.21,-15.64%
Oct 2006,9.20,-0.08%
Nov 2006,8.21,-10.77%
Dec 2006,8.60,4.73%
Jan 2007,10.48,21.88%
Feb 2007,11.55,10.20%
Mar 2007,11.47,-0.65%
Apr 2007,11.72,2.19%
May 2007,11.75,0.23%
Jun 2007,11.14,-5.14%
Jul 2007,10.30,-7.54%
Aug 2007,10.69,3.76%
Sep 2007,10.91,2.06%
Oct 2007,11.58,6.08%
Nov 2007,12.37,6.89%
Dec 2007,12.26,-0.95%
Jan 2008,13.08,6.75%
Feb 2008,13.74,5.03%
Mar 2008,13.68,-0.46%
Apr 2008,13.61,-0.48%
May 2008,14.51,6.60%
Jun 2008,15.19,4.67%
Jul 2008,14.91,-1.83%
Aug 2008,13.52,-9.31%
Sep 2008,13.90,2.80%
Oct 2008,11.12,-20.00%
Nov 2008,10.10,-9.22%
Dec 2008,7.61,-24.63%
Jan 2009,9.47,24.48%
Feb 2009,9.81,3.57%
Mar 2009,9.38,-4.35%
Apr 2009,9.88,5.24%
May 2009,10.05,1.80%
Jun 2009,10.07,0.19%
Jul 2009,10.57,4.90%
Aug 2009,12.08,14.31%
Sep 2009,13.22,9.46%
Oct 2009,14.11,6.71%
Nov 2009,15.30,8.47%
Dec 2009,16.40,7.14%
Jan 2010,17.90,9.14%
Feb 2010,18.36,2.60%
Mar 2010,19.06,3.80%
Apr 2010,21.91,14.97%
May 2010,21.25,-3.00%
Jun 2010,20.57,-3.21%
Jul 2010,19.03,-7.49%
Aug 2010,19.22,0.99%
Sep 2010,20.50,6.65%
Oct 2010,22.14,8.02%
Nov 2010,24.08,8.75%
Dec 2010,26.67,10.77%
Jan 2011,30.38,13.89%
Feb 2011,33.91,11.63%
Mar 2011,29.52,-12.95%
Apr 2011,31.09,5.33%
May 2011,27.05,-13.00%
Jun 2011,26.41,-2.35%
Jul 2011,25.05,-5.14%
Aug 2011,25.92,3.44%
Sep 2011,27.03,4.30%
Oct 2011,24.79,-8.29%
Nov 2011,20.86,-15.84%
Dec 2011,21.12,1.22%
Jan 2012,22.05,4.42%
Feb 2012,23.22,5.29%
Mar 2012,22.72,-2.15%
Apr 2012,22.80,0.37%
May 2012,23.04,1.06%
Jun 2012,20.21,-12.28%
