Month,Price,Change
Jun 1997,0.91,-
Jul 1997,0.91,-0.39%
Aug 1997,0.91,0.65%
Sep 1997,0.88,-3.24%
Oct 1997,0.95,8.19%
Nov 1997,0.99,3.58%
Jan 1998,0.98,-1.22%
Feb 1998,0.91,-6.35%
Mar 1998,0.84,-8.27%
Apr 1998,0.82,-2.03%
May 1998,0.82,-0.76%
Jun 1998,0.73,-10.73%
Jul 1998,0.77,5.60%
Aug 1998,0.86,11.37%
Sep 1998,0.73,-14.23%
Jun 2002,0.52,-28.61%
Jul 2002,0.57,8.01%
Aug 2002,0.58,1.87%
Sep 2002,0.65,11.95%
Oct 2002,0.71,9.88%
Nov 2002,0.74,4.96%
Dec 2002,0.77,3.21%
Jan 2003,0.84,9.10%
Feb 2003,0.91,8.99%
Mar 2003,0.86,-6.32%
Apr 2003,0.77,-10.12%
May 2003,0.72,-6.41%
Jun 2003,0.67,-6.58%
Jul 2003,0.70,4.61%
Aug 2003,0.72,2.86%
Sep 2003,0.68,-5.31%
Oct 2003,0.68,-0.48%
Nov 2003,0.69,1.19%
Dec 2003,0.71,3.39%
Jan 2004,0.66,-7.70%
Feb 2004,0.65,-1.78%
Mar 2004,0.72,10.60%
Apr 2004,0.78,8.44%
May 2004,0.76,-1.68%
Jun 2004,0.86,12.15%
Jul 2004,0.94,9.53%
Aug 2004,0.90,-4.10%
Sep 2004,1.00,10.90%
Oct 2004,1.02,2.77%
Nov 2004,0.99,-3.56%
Dec 2004,0.99,-0.10%
Jan 2005,1.00,1.81%
Feb 2005,1.04,3.41%
Mar 2005,0.99,-4.46%
Apr 2005,0.95,-4.47%
May 2005,0.93,-1.51%
Jun 2005,0.98,4.71%
Jul 2005,1.03,5.01%
Aug 2005,1.06,2.92%
Sep 2005,1.16,10.25%
Oct 2005,1.26,8.07%
Nov 2005,1.26,0.10%
Dec 2005,1.48,17.55%
Jan 2006,1.71,15.28%
Feb 2006,1.89,10.81%
Mar 2006,1.84,-2.89%
Apr 2006,1.93,5.01%
May 2006,1.87,-2.92%
Jun 2006,1.79,-4.58%
Jul 2006,1.74,-2.50%
Aug 2006,1.41,-19.01%
Sep 2006,1.35,-4.13%
Oct 2006,1.25,-7.33%
Nov 2006,1.28,2.02%
Dec 2006,1.27,-0.79%
Jan 2007,1.19,-5.92%
Feb 2007,1.16,-2.61%
Mar 2007,1.15,-0.91%
Apr 2007,1.05,-8.60%
May 2007,0.98,-6.61%
Jun 2007,1.00,2.02%
Jul 2007,1.07,6.69%
Aug 2007,1.06,-0.84%
